Date,BOVA11.SA
2013-04-10,55.0099983215332
2013-04-11,54.150001525878906
2013-04-12,53.72999954223633
2013-04-15,51.95000076293945
2013-04-16,52.869998931884766
2013-04-17,51.81999969482422
2013-04-18,52.040000915527344
2013-04-19,52.72999954223633
2013-04-22,53.15999984741211
2013-04-23,53.689998626708984
2013-04-24,53.77000045776367
2013-04-25,53.849998474121094
2013-04-26,53.099998474121094
2013-04-29,53.75
2013-04-30,54.45000076293945
2013-05-02,54.04999923706055
2013-05-03,54.150001525878906
2013-05-06,54.27000045776367
2013-05-07,55.189998626708984
2013-05-08,54.70000076293945
2013-05-09,54.25
2013-05-10,53.90999984741211
2013-05-13,53.29999923706055
2013-05-14,53.5099983215332
2013-05-15,53.75
2013-05-16,53.66999816894531
2013-05-17,54.040000915527344
2013-05-20,54.56999969482422
2013-05-21,55.06999969482422
2013-05-22,55.36000061035156
2013-05-23,55.209999084472656
2013-05-24,55.34000015258789
2013-05-27,55.349998474121094
2013-05-28,54.79999923706055
2013-05-29,53.470001220703125
2013-05-31,52.45000076293945
2013-06-03,52.75
2013-06-04,52.86000061035156
2013-06-05,51.7400016784668
2013-06-06,51.84000015258789
2013-06-07,50.560001373291016
2013-06-10,50.189998626708984
2013-06-11,48.70000076293945
2013-06-12,48.22999954223633
2013-06-13,49.40999984741211
2013-06-14,48.36000061035156
2013-06-17,48.150001525878906
2013-06-18,48.349998474121094
2013-06-19,46.9900016784668
2013-06-20,47.33000183105469
2013-06-21,46.189998626708984
2013-06-24,45.119998931884766
2013-06-25,46.0
2013-06-26,46.189998626708984
2013-06-27,46.7400016784668
2013-06-28,46.5
2013-07-01,46.38999938964844
2013-07-02,44.20000076293945
2013-07-03,43.970001220703125
2013-07-04,44.959999084472656
2013-07-05,44.38999938964844
2013-07-08,44.18000030517578
2013-07-10,44.52000045776367
2013-07-11,45.779998779296875
2013-07-12,44.70000076293945
2013-07-15,45.810001373291016
2013-07-16,46.119998931884766
2013-07-17,46.56999969482422
2013-07-18,46.650001525878906
2013-07-19,46.540000915527344
2013-07-22,47.72999954223633
2013-07-23,47.83000183105469
2013-07-24,47.459999084472656
2013-07-25,48.13999938964844
2013-07-26,48.4900016784668
2013-07-29,48.2599983215332
2013-07-30,47.58000183105469
2013-07-31,47.31999969482422
2013-08-01,48.22999954223633
2013-08-02,47.470001220703125
2013-08-05,47.54999923706055
2013-08-06,46.41999816894531
2013-08-07,46.58000183105469
2013-08-08,48.099998474121094
2013-08-09,48.93000030517578
2013-08-12,49.40999984741211
2013-08-13,49.650001525878906
2013-08-14,49.70000076293945
2013-08-15,49.959999084472656
2013-08-16,50.56999969482422
2013-08-19,50.70000076293945
2013-08-20,49.630001068115234
2013-08-21,49.459999084472656
2013-08-22,50.41999816894531
2013-08-23,51.150001525878906
2013-08-26,50.56999969482422
2013-08-27,49.22999954223633
2013-08-28,49.189998626708984
2013-08-29,49.060001373291016
2013-08-30,49.5
2013-09-02,50.459999084472656
2013-09-03,50.470001220703125
2013-09-04,50.5099983215332
2013-09-05,51.099998474121094
2013-09-06,52.880001068115234
2013-09-09,53.0099983215332
2013-09-10,52.849998474121094
2013-09-11,52.38999938964844
2013-09-12,52.189998626708984
2013-09-13,52.83000183105469
2013-09-16,52.47999954223633
2013-09-17,53.2400016784668
2013-09-18,54.65999984741211
2013-09-19,53.849998474121094
2013-09-20,53.0
2013-09-23,53.40999984741211
2013-09-24,53.349998474121094
2013-09-25,53.029998779296875
2013-09-26,52.77000045776367
2013-09-27,52.52000045776367
2013-09-30,51.290000915527344
2013-10-01,51.959999084472656
2013-10-02,51.90999984741211
2013-10-03,51.310001373291016
2013-10-04,51.70000076293945
2013-10-07,51.099998474121094
2013-10-08,51.16999816894531
2013-10-09,51.4900016784668
2013-10-10,51.900001525878906
2013-10-11,52.040000915527344
