Date,GC=F
2014-05-28,31298.859997091426
2014-05-29,30934.442222301226
2014-05-30,30451.25406628242
2014-06-02,31133.23134898086
2014-06-03,33260.90696588693
2014-06-04,33416.981475871704
2014-06-05,33587.83626885158
2014-06-06,32450.871113306373
2014-06-09,31716.59276213864
2014-06-10,30942.714873947207
2014-06-11,30574.101953430654
2014-06-12,31518.397927337966
2014-06-13,31329.10576022384
2014-06-16,30943.893981738376
2014-06-17,31437.520681934857
2014-06-18,33123.39227510982
2014-06-19,31891.38560089338
2014-06-20,31940.559440257308
2014-06-23,32407.104788267552
2014-06-24,31680.76429345126
2014-06-25,32207.76934035396
2014-06-26,31100.372855375826
2014-06-27,30557.104113106452
2014-06-30,30504.89588667062
2014-07-01,31737.98595350242
2014-07-02,31064.902660850898
2014-07-03,32204.481396202777
2014-07-07,31392.99452484837
2014-07-08,32108.72310385078
2014-07-09,31544.216381378552
2014-07-10,31783.920528492483
2014-07-11,32392.72388074132
2014-07-14,31586.203908496223
2014-07-15,30785.903977086953
2014-07-16,31327.949023082514
2014-07-17,32021.849328700522
2014-07-18,33876.63309399602
2014-07-21,32041.06699140755
2014-07-22,31621.2621307464
2014-07-23,31022.476386951574
2014-07-24,31116.60728986784
2014-07-25,31383.978084828042
2014-07-28,31775.970543613304
2014-07-29,31494.821467075366
2014-07-30,31850.562431489237
2014-07-31,32472.073081717102
2014-08-01,33764.807505927776
2014-08-04,33137.492701312374
2014-08-05,33142.146360043065
2014-08-06,35082.76649843503
2014-08-07,34847.80852372194
2014-08-08,36253.996659292585
2014-08-11,35298.07821794281
2014-08-12,34898.94917225187
2014-08-13,35159.913353317264
2014-08-14,35412.65704103055
2014-08-15,34266.76239843272
2014-08-18,32999.235248039964
2014-08-19,33499.897383105366
2014-08-20,32767.03581653263
2014-08-21,33069.237527301964
2014-08-22,33758.83504819464
2014-08-25,34089.00485305027
2014-08-26,34869.44319910358
2014-08-27,33358.87902409115
2014-08-28,32653.77933081748
2014-08-29,32210.14630121825
2014-09-02,31991.78366437236
2014-09-03,31934.810883898506
2014-09-04,31510.659823221704
2014-09-05,31828.358290442167
2014-09-08,31414.637135849036
2014-09-09,32814.796585345925
2014-09-10,33792.601905620795
2014-09-11,33744.816611660266
2014-09-12,34113.38603837711
2014-09-15,32864.81192764593
2014-09-16,37002.36025425395
2014-09-17,36613.05626700005
2014-09-18,37719.772089185455
2014-09-19,37904.0302458898
2014-09-22,38066.57520943383
2014-09-23,40220.30683044831
2014-09-24,41087.81208005606
2014-09-25,39143.22625443865
2014-09-26,41999.55396777366
2014-09-29,41743.31070107858
2014-09-30,43153.31833971464
2014-10-01,42763.28606790546
2014-10-02,46056.11430987743
2014-10-03,45984.44621650955
2014-10-06,43826.272766212795
2014-10-07,41923.436369697694
2014-10-08,39537.67190973758
2014-10-09,38897.094137434535
2014-10-10,40166.617492648125
2014-10-13,39841.859212938085
2014-10-14,40283.70381225048
2014-10-15,41008.612007993026
2014-10-16,44870.61029849076
2014-10-17,45785.47174567034
2014-10-20,43425.60421430639
2014-10-21,45978.051844254725
2014-10-22,46935.85707055528
2014-10-23,46794.11597024912
2014-10-24,47763.70681608213
2014-10-27,45666.86350113343
2014-10-28,49539.18690154076
2014-10-29,44705.06272051335
2014-10-30,43719.8996372991
2014-10-31,38957.99411358058
2014-11-03,39678.236527287736
2014-11-04,45042.3448612326
2014-11-05,44307.10466901074
2014-11-06,44713.98685577855
2014-11-07,50753.987376974816
2014-11-10,48946.237262368544
2014-11-11,49119.84971118894
2014-11-12,49340.27569418522
2014-11-13,50110.863434034516
2014-11-14,52986.508236888665
2014-11-17,53794.61628022757
2014-11-18,55082.82080425047
2014-11-19,52811.85903420381
2014-11-20,51855.06751466168
2014-11-21,52216.195049600785
2014-11-24,47602.3264944087
2014-11-25,50023.52379307666
2014-11-26,48802.12802541336
2014-11-28,47936.92864888215
2014-12-01,50021.77340450666
2014-12-02,51264.23266457179
2014-12-03,52303.21098235011
2014-12-04,50984.07898452791
2014-12-05,53412.374908217105
2014-12-08,53436.76655774842
2014-12-09,55982.80623932286
2014-12-10,55256.09389727865
2014-12-11,57120.984685794254
2014-12-12,59963.91961845014
2014-12-15,59497.74261730744
2014-12-16,62709.414257484794
