Date,SI=F
2016-04-19,2881.4517429153884
2016-04-20,2645.8612444717833
2016-04-21,2636.2171528313715
2016-04-22,2606.9017686596753
2016-04-25,2738.4105683198954
2016-04-26,2718.051237283877
2016-04-27,2654.3846205517907
2016-04-28,2699.368439295223
2016-04-29,2608.067222719991
2016-05-02,2451.8074324364384
2016-05-03,2611.7192638751903
2016-05-04,2759.1662178463807
2016-05-05,2733.740100499695
2016-05-06,2727.943655281998
2016-05-09,2558.640790664456
2016-05-10,2600.5986728793687
2016-05-11,2509.657724903569
2016-05-12,2412.298039087003
2016-05-13,2501.7595680822315
2016-05-16,2662.3107175526343
2016-05-17,2570.108414446199
2016-05-18,2528.5009682718337
2016-05-19,2642.4012245525632
2016-05-20,2655.9679307495494
2016-05-23,2627.7896077807777
2016-05-24,2627.2502901617363
2016-05-25,2632.361475559144
2016-05-26,2674.398201784045
2016-05-27,2676.629365846268
2016-05-31,2586.821884127667
2016-06-01,2622.075356812343
2016-06-02,2661.4438923968187
2016-06-03,2685.296041991247
2016-06-06,2534.980878879199
2016-06-07,2414.3276695182467
2016-06-08,2362.0390921901912
2016-06-09,2192.4452336634736
2016-06-10,2302.7250574201257
2016-06-13,2372.560652492016
2016-06-14,2545.4664300102504
2016-06-15,2550.552290106782
2016-06-16,2548.7780864878055
2016-06-17,2497.2154796628083
2016-06-20,2374.410964736023
2016-06-21,2290.8250198024352
2016-06-22,2345.6253865911376
2016-06-23,2248.9726402363763
2016-06-24,2205.355651043301
2016-06-27,2281.850824561561
2016-06-28,2354.0225803427625
2016-06-29,2184.194361657151
2016-06-30,2041.668769744073
2016-07-01,2064.492592150622
2016-07-05,2323.281510595763
2016-07-06,2388.209395659858
2016-07-07,2425.674261363205
2016-07-08,2559.843136340623
2016-07-11,2396.4574078989667
2016-07-12,2408.161285706099
2016-07-13,2396.744226268594
2016-07-14,2295.1557969118617
2016-07-15,2240.8556525549775
2016-07-18,2310.351472076164
2016-07-19,2226.8934997990514
2016-07-20,2179.0523516658195
2016-07-21,2214.5740115694325
2016-07-22,2243.697619404599
2016-07-25,2192.417614652055
2016-07-26,2280.7636349945
2016-07-27,2282.760338522079
2016-07-28,2273.0800762780696
2016-07-29,2356.4272253169083
2016-08-01,2272.547090449753
2016-08-02,2329.560541482233
2016-08-03,2287.838426791269
2016-08-04,2233.779238524916
2016-08-05,2040.328015512211
2016-08-08,1972.8582211477656
2016-08-09,1997.2933556869243
2016-08-10,1964.5013312071735
2016-08-11,1905.0911213857078
2016-08-12,1909.9137893669329
2016-08-15,2053.81135230902
2016-08-16,2041.9511628972234
2016-08-17,2061.129018819576
2016-08-18,2080.2262096576515
2016-08-19,2121.453716567905
2016-08-22,1986.9692202249146
2016-08-23,1979.6368991350766
2016-08-24,2032.3219525747645
2016-08-25,1994.6094848945895
2016-08-26,2025.1537183797193
2016-08-29,2129.771313789104
2016-08-30,2016.0182209785241
2016-08-31,2044.041711889505
2016-09-01,2042.3496692355832
2016-09-02,2159.0364783867717
2016-09-06,2284.523286221304
2016-09-07,2062.315632075177
2016-09-08,2030.4884088851518
2016-09-09,2059.785293275655
2016-09-12,2167.2060899141547
2016-09-13,2099.460172014196
2016-09-14,2289.8362493182676
2016-09-15,2369.3033899035163
2016-09-16,2226.738130936805
2016-09-19,2183.9148394821877
2016-09-20,2197.943218690585
2016-09-21,2212.8317991361155
2016-09-22,2124.553702003083
2016-09-23,2113.4761886863653
2016-09-26,2159.1647707682123
2016-09-27,2104.938638841644
2016-09-28,2079.5341049206536
2016-09-29,2049.3230913114508
2016-09-30,2159.8151547056204
2016-10-03,2122.296856072408
2016-10-04,1877.623585982615
2016-10-05,1978.280691978408
2016-10-06,1855.0633952408418
2016-10-07,1879.1078224255266
2016-10-11,1836.579373196149
2016-10-12,1820.927095604594
2016-10-13,1827.1688005802864
